HELD AT HARVARD,HARVARD PERMALINK,Catalog Link,Judaica - Verified,268,ISBN,Title,Author,Series,Publisher,Year Published,Date_Published,Pages_Thickness,Magazine,Volume_number,Category,Category_2,Request_Number,Library_ID,DOI,Persistent_Identifier,Report_Number,ISBN,FileName,University_Degree,Searched,Found Count: 268,ISSN,Duplication,Searching Category,URL
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102628320203941/catalog,#REF!,Judaica - New,"The Sealed Judaism of Ancient Japan: The ""Ancient Taboo"" Revealed Now",4-8127-0103-1,封印された古代日本のユダヤ : いま明らかになる「古代史のタブー」,中原和人 著,,たま出版,2004,2004.12,263p ; 20cm,,,図書,GB184 210.3,GB184-H20,7581735,,,,4-8127-0103-1,ユダヤ401-500,,Red,,,1,1,http://id.ndl.go.jp/bib/029458387
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/99154547139603941/catalog,#REF!,Judaica - New,The testament of Lieutenant General Kiichiro Higuchi: The shogun who saved Jewish refugees and Hokkaido,978-4-585-22273-6,陸軍中将樋口季一郎の遺訓 : ユダヤ難民と北海道を救った将軍,"樋口季一郎 [著] , 樋口隆一 編著",,勉誠出版,2020,2020.3,532p ; 20cm,,,図書,GK199 289.1,GK199-M1147,30334211,,,,978-4-585-22273-6,ユダヤ701-800,,Red,,,1,1,http://id.ndl.go.jp/bib/029211709
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990088777910203941/catalog,#REF!,Judaica - New,"The truth, Sugihara visa",4-8117-0309-X,真相・杉原ビザ,渡辺勝正 著,,大正出版,2000,2000.7,"477, 5p ; 20cm",,,図書,GA82 209.74,GA82-G65,2907810,,,,4-8117-0309-X,ユダヤ1701-1800,,Red,,,1,1,http://id.ndl.go.jp/bib/030114733
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990091879350203941/catalog,#REF!,Judaica - New,The world revolves around Jews,4-89008-324-3,ユダヤ人を中心にして世界は動いている,梶原和義 著,,JDC,2003,2003.2,324p ; 19cm,,,図書,EC134 316.88,EC134-H2,4046552,,,,4-89008-324-3,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000007489456
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102628450203941/catalog,#REF!,Judaica - New,The world's strongest study method to learn from Jews: How to raise your child to be a millionaire,4-8284-1159-3,ユダヤに学ぶ世界最強の勉強法 : わが子を億万長者に育てる方法,和田秀樹 著,,ビジネス社,2004,2004.11,199p ; 19cm,,,図書,EF34 379.9,EF34-H313,7549387,,,,4-8284-1159-3,ユダヤ701-800,,Red,,,1,1,http://id.ndl.go.jp/bib/000007622593
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990088549220203941/catalog,#REF!,Judaica - New,Two nationalisms: the Jewish French 'modernity',4-622-03843-9,ふたつのナショナリズム : ユダヤ系フランス人の「近代」,有田英也 [著],,みすず書房,2000,2000.12,"426, 10p ; 22cm",,,図書,EC134 316.88,EC134-G36,2946961,,,,4-622-03843-9,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/030353194
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193308403941/catalog,#REF!,Judaica - New,"Venice, the first ghetto",978-4-8010-0152-7,ヴェネツィア、最初のゲットー,"アリス・ベッケル=ホー 著 , 木下誠 訳",,水声社,2016,2016.3,237p ; 20cm,,,図書,EC134 316.88,EC134-L19,27150573,,,,978-4-8010-0152-7,ユダヤ1501-1600,,Red,,,1,1,http://id.ndl.go.jp/bib/000004342036
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178187703941/catalog,#REF!,Judaica - New,Wagner's Anti-Semitic Ideas and Nazism : What can be seen from the text of Mein Kampf,978-4-86559-126-2,ヴァーグナーの反ユダヤ思想とナチズム : 『わが闘争』のテクストから見えてくるもの,鈴木淳子 著,叢書ビブリオムジカ = Bibliomúsica,アルテスパブリッシング,2015,2015.9,165p ; 21cm,,,図書,KD233 762.34,KD233-L62,26741725,,,,978-4-86559-126-2,反ユダヤ主義1-94,,Red,,,1,1,http://id.ndl.go.jp/bib/023931646
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178187703941/catalog,#REF!,Judaica - New,"Wagner's Anti-Semitic Ideas and Nazism: What Can Be Seen from the Text of ""Mein Kampf"" 2nd Edition",978-4-86559-126-2,ヴァーグナーの反ユダヤ思想とナチズム : 『わが闘争』のテクストから見えてくるもの 第2版,鈴木淳子 著,叢書ビブリオムジカ = Bibliomúsica,アルテスパブリッシング,2015,2015.12,165p ; 21cm,,,図書,KD233 762.34,KD233-L73,27009279,,,,978-4-86559-126-2,反ユダヤ主義1-94,,Red,,,1,1,http://id.ndl.go.jp/bib/000007483370
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99156366573103941/catalog,#REF!,Judaica - New,Banana King Samuel Zamurai: A Russian Jew Created a Global Business in New Orleans,978-4-7759-7271-7,バナナ王サミュエル・ザムライ伝 : ロシア系ユダヤ人がニューオーリンズでグローバルビジネスを生み出した,"リッチ・コーエン 著 , 岡久悦子 訳",ウィザードブックシリーズ ; 302,パンローリング,2020,2020.1,391p ; 19cm,,,図書,GK561 289.3,GK561-M180,30613368,,,,978-4-7759-7271-7,ユダヤ801-900,,Red,,,1,1,http://id.ndl.go.jp/bib/026406143
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193308303941/catalog,#REF!,Judaica - New,Eichmann in Jerusalem: A Report on the Banality of Evil New Edition,978-4-622-08628-4,エルサレムのアイヒマン : 悪の陳腐さについての報告 新版,"ハンナ・アーレント [著] , 大久保和郎 訳",,みすず書房,2017,2017.8,"438,31p ; 20cm",,,図書,A65 316.88,A65-L14,28436575,,,,978-4-622-08628-4,反ユダヤ主義1-94,,Red,,,1,1,http://id.ndl.go.jp/bib/000004111173
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990150441290203941/catalog,#REF!,Judaica - New,Jewish Refugees and Ichiu Hakko,4-88656-207-8,猶太難民と八紘一宇,上杉千年 著,,展転社,2002,2002.2,302p ; 19cm,,,図書,EC134 316.88,EC134-G53,3679773,,,,4-88656-207-8,ユダヤ901-1000,,Red,,,1,1,http://id.ndl.go.jp/bib/000010922747
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99156366572903941/catalog,#REF!,Judaica - New,"Jews in Kaifeng, China Expanded Edition",978-4-409-51090-2,中国・開封のユダヤ人 増補版,小岸昭 著,,人文書院,2021,2021.5,313p ; 20cm,,,図書,316.88,xxx,31457703,,,,978-4-409-51090-2,ユダヤ801-900,,Red,,,1,1,http://id.ndl.go.jp/bib/000009132296
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102615080203941/catalog,#REF!,Judaica - New,"Mystery of the lost ancient Jewish dynasty ""Yamato"" : Secretly excavated giant keyhole-shaped burial mound!!",4-05-403237-0,失われた古代ユダヤ王朝「大和」の謎 : 密かに発掘されていた巨大前方後円墳!! : 菊花紋に隠された南朝キリスト伝説を追う!!,"飛鳥昭雄, 三神たける 著",Mu super mystery books,学習研究社,2006,2006.11,308p ; 18cm,,,図書,SB391 147,SB391-H608,8352388,,,,4-05-403237-0,ユダヤ801-900,,Red,,,1,1,http://id.ndl.go.jp/bib/032144466
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178190303941/catalog,#REF!,Judaica - New,The Frankfurt School and Antisemitism = Frankfurter Schule und Antisemitismus,978-4-7795-0887-5,フランクフルト学派と反ユダヤ主義 = Frankfurter Schule und Antisemitismus,古松丈周 著,,ナカニシヤ出版,2014,2014.1,"203,16p ; 20cm",,,図書,EC26 361.234,EC26-L13,25836322,,,,978-4-7795-0887-5,反ユダヤ主義1-94,,Red,,,1,1,http://id.ndl.go.jp/bib/027039705
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102618970203941/catalog,#REF!,Judaica - New,"Why only Jews attract money : The secret of the golden law that promises ""wealth and success""",4-7631-9704-5,ユダヤ人ばかりになぜ、お金が集まってくるのか : 「富と成功」を約束する黄金法則の秘密,伊達一啓 著,,サンマーク出版,2006,2006.6,237p ; 19cm,,,図書,US51 159,US51-H3049,8374870,,,,4-7631-9704-5,ユダヤ801-900,,Red,,,1,1,http://id.ndl.go.jp/bib/000011307226
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990088183550203941/catalog,#REF!,Judaica - New ,Judeo-Masonic Last Apocalypse,4-947737-25-5,ユダヤ・フリーメーソン最終黙示録,赤間剛 著,,雷韻出版,2001,2001.6,265p ; 18cm,,,図書,EC144 361.65,EC144-G48,2999602,,,,4-947737-25-5,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000010614660
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178191503941/catalog,#REF!,Judaica - New ,Saul Bellow and ``Class'' : Ascension of Jewish Protagonist's Class and Fluctuation of Consciousness,978-4-7791-1971-2,ソール・ベローと「階級」 : ユダヤ系主人公の階級上昇と意識の揺らぎ,鈴木元子 著,,彩流社,2014,2014.2,362p ; 22cm,,,図書,KS212 930.278,KS212-L5,25164116,,,,978-4-7791-1971-2,ユダヤ201-300,,Red,,,1,1,http://id.ndl.go.jp/bib/000007828936
Not Found,No Permalink Found,,Judaica - Verified,(English) The Diary of Anne Frank = The diary of Anne Frank,"978-4-523-01524-6 , 4-523-01524-4",(英文) アンネ・フランクの日記 = The diary of Anne Frank 改装,"Anne Frank [著] , 前田正男, 池田重三 注釈",Nan'un-do's contemporary library,南雲堂,2004,2004.4,74p ; 19cm,,,図書,Y45,Y45-L1925,28075982,,,,"978-4-523-01524-6 , 4-523-01524-4",アンネ・フランク1-99,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102885010203941/catalog,,Judaica - Verified,100 faces of Israel: another guidebook,4-88694-025-0,イスラエル100の素顔 : もうひとつのガイドブック,東京農大イスラエル100の素顔編集委員会 編,,東京農業大学出版会,2001,2001.4,136p ; 19cm,,,図書,GE761 292.79,GE761-G54,3055240,,,,4-88694-025-0,イスラエル 1-100,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99156366572503941/catalog,,Judaica - Verified,《Israel Intelligence Agency》 Mossad's Strongest Spy: Chasing the mysterious death of an Egyptian official called Angel,978-4-89586-165-6,《イスラエル諜報特務庁》モサド最強のスパイ : エンジェルと呼ばれたエジプト高官その謎の死を追う,"ウリ・バル=ヨセフ 著 , 持田鋼一郎 訳",,ミルトス,2020,2020.6,398p ; 19cm,,,図書,AI8-311 391.6279,AI8-311-M3,30463065,,,,978-4-89586-165-6,イスラエル 101-200,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178189803941/catalog,,Judaica - Verified,62 Chapters to Know Israel 2nd Edition,978-4-7503-4693-9,イスラエルを知るための62章 第2版,立山良司 編著,エリア・スタディーズ ; 104,明石書店,2018,2018.6,380p ; 19cm,,,図書,GE761 302.279,GE761-L41,29045981,,,,978-4-7503-4693-9,イディッシュ 1-45,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193311103941/catalog,,Judaica - Verified,All About Anne: Here's Anne's life and the answers to many of the questions she's been asked.,978-4-591-15993-4,アンネのこと、すべて : アンネの人生のこと、これまで寄せられたたくさんの質問とその答えを、ここにお伝えします,"メノー・メッツェラー, ピット・ファン・レダン 著 , アンネ・フランク・ハウス 編 , ハック・スキャリー 画 , 小林エリカ 訳 , 石岡史子 日本語版監修",,ポプラ社,2018,2018.11,40p ; 29cm,,,図書,Y3 289.3,Y3-N19-M10,29328576,,,,978-4-591-15993-4,アンネ・フランク1-99,,Red,,,1,1,
Not Found,No Permalink Found,,Judaica - Verified,America's Israeli Power,978-4-87919-170-0,アメリカのイスラエル・パワー,"ジェームズ・ペトラス 著 , 高尾菜つこ 訳",,三交社,2007,2007.8,281p ; 20cm,,,図書,A99-U 319.53027,A99-U-J13,8961110,,,,978-4-87919-170-0,イスラエル 1-100,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990131091310203941/catalog,,Judaica - Verified,Anatomy of Zionism: The Conflict between the Diaspora and Israel in the Contemporary Jewish World,978-4-409-23047-3,シオニズムの解剖 : 現代ユダヤ世界におけるディアスポラとイスラエルの相克,"赤尾光春, 早尾貴紀 編 , 臼杵陽 監修",,人文書院,2011,2011.1,354p ; 22cm,,,図書,A65 316.88,A65-J11,23156213,,,,978-4-409-23047-3,イディッシュ 1-45,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193310503941/catalog,,Judaica - Verified,Anne Frank = ANNE FRANK,978-4-406-06178-0,アンネ・フランク = ANNE FRANK,早乙女勝元 著,,新日本出版社,2017,2017.1,222p ; 20cm,,,図書,Y2 209.74,Y2-N18-L16,28577432,,,,978-4-406-06178-0,アンネ・フランク1-99,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193310603941/catalog,,Judaica - Verified,Anne Frank: The Diary Tells,978-4-06-512707-0,アンネ・フランク : 日記は語る,岡田好惠 文,講談社火の鳥伝記文庫 ; 16,講談社,2018,2018.8,253p ; 18cm,,,図書,Y3 289.3,Y3-N18-L204,29137198,,,,978-4-06-512707-0,アンネ・フランク1-99,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178308503941/catalog,,Judaica - Verified,Anne Frank: The girl who wished for peace in her diary,978-4-04-103975-5,アンネ・フランク : 日記で平和を願った少女,"大塚信 監修 , 梶原にき まんが作画",角川まんが学習シリーズ ; N4. まんが人物伝,KADOKAWA,2018,2018.1,159p ; 19cm,,,図書,Y3 289.3,Y3-N18-L60,28755174,,,,978-4-04-103975-5,アンネ・フランク1-99,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99156366575703941/catalog,,Judaica - Verified,Anne Frank's Informer: 78 Years Old Revealed by New Investigative Techniques,978-4-596-31927-2,アンネ・フランクの密告者 : 最新の調査技術が解明する78年目の真実,"ローズマリー・サリヴァン 著 , 山本やよい 訳",,ハーパーコリンズ・ジャパン,2022,2022.2,470p ; 19cm,,,図書,GA82 209.74,GA82-M41,31953272,,,,978-4-596-31927-2,アンネ・フランク1-99,,Red,,,1,1,
Not Found,No Permalink Found,,Judaica - Verified,Anne's Diary Enlarged New Revised Edition,4-16-359610-0,アンネの日記 増補新訂版,"アンネ・フランク 著 , 深町眞理子 訳",,文藝春秋,2003,2003.4,595p ; 20cm,,,図書,GA87 949.35,GA87-H4,4088192,,,,4-16-359610-0,アンネ・フランク1-99,,Red,,,1,1,
Not Found,No Permalink Found,,Judaica - Verified,Anne's Diary Enlarged New Revised Edition,4-16-765133-5,アンネの日記 増補新訂版,"アンネ・フランク 著 , 深町眞理子 訳",文春文庫,文藝春秋,2003,2003.4,597p ; 16cm,,,図書,GA87 949.35,GA87-H5,4088542,,,,4-16-765133-5,アンネ・フランク1-99,,Red,,,1,1,
Not Found,No Permalink Found,,Judaica - Verified,Anne's Diary: Graphic Edition,978-4-7515-2963-8,アンネの日記 : グラフィック版,"アンネ・フランク 著 , アリ・フォルマン 編 , デイビッド・ポロンスキー 絵 , 深町眞理子 訳",,あすなろ書房,2020,2020.5,145p ; 26cm,,,図書,Y84 726.1,Y84-M18024,30395053,,,,978-4-7515-2963-8,アンネ・フランク1-99,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193310403941/catalog,,Judaica - Verified,Anne's fairy tale new edition,978-4-16-790991-8,アンネの童話 新装版,"アンネ・フランク 著 , 中川李枝子 訳",文春文庫 ; フ1-5,文藝春秋,2017,2017.12,222p ; 16cm,,,図書,KS446 949.33,KS446-L10,28643626,,,,978-4-16-790991-8,アンネ・フランク1-99,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178190703941/catalog,,Judaica - Verified,Arab-Israeli conflict map,978-4-7503-4196-5,アラブ・イスラエル紛争地図,"マーティン・ギルバート 著 , 小林和香子 監訳 , 今井静, 今野泰三, 近藤重人, 松山健二, 村山なほみ, 吉岡明子 訳",,明石書店,2015,2015.5,204p ; 27cm,,,図書,GE761 227.9,GE761-L16,26353279,,,,978-4-7503-4196-5,シオニズム 1-88,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990125843820203941/catalog,,Judaica - Verified,Between Judea and Israel: Ethnic/National Aporia,978-4-7917-6394-8,ユダヤとイスラエルのあいだ : 民族/国民のアポリア,早尾貴紀 著,,青土社,2008,2008.3,"345, 3p ; 20cm",,,図書,A65 316.88,A65-J4,9335293,,,,978-4-7917-6394-8,シオン主義 89-120,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178191703941/catalog,,Judaica - Verified,Biblical Hebrew Japanese Lexicon = A Biblical Hebrew Japanese Lexicon with Biblical Aramaic Vocabulary : Biblical Aramaic Vocabulary,978-4-89586-052-9,聖書ヘブライ語日本語辞典 = A Biblical Hebrew Japanese Lexicon with Biblical Aramaic Vocabulary : 聖書アラム語語彙付,"谷川政美 著 , 古代語研究会 編",,ミルトス,2018,2018.8,1245p ; 21cm,,,図書,"HP2 , HP13 193.033",HP2-L23,29117613,,,,978-4-89586-052-9,ヘブライ1-100,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193307603941/catalog,,Judaica - Verified,Biblical Hebrew Today: A Guide to the Biblical Parallel Series,978-4-89586-049-9,今日からわかる聖書ヘブライ語 : 聖書対訳シリーズの手引き,谷内意咲 著,,ミルトス,2017,2017.5,109p ; 21cm,,,図書,KM13 829.73,KM13-L3,28177803,,,,978-4-89586-049-9,ヘブライ1-100,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990099199820203941/catalog,,Judaica - Verified,Bibliography of Jewish-Israeli Discussions in Japan : 1989-2004,4-8122-0543-3,日本におけるユダヤ・イスラエル論議文献目録 : 1989～2004,宮澤正典 編,,昭和堂,2005,2005.12,386p ; 22cm,,,図書,"E1 , EC134 , GE761 316.88",E1-H39,8033356,,,,4-8122-0543-3,イスラエル 101-200,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/99153736340803941/catalog,,Judaica - Verified,"Colonialism and Gentile Zionism in Modern Japan : Nationalism and World Perception in Kanzo Uchimura, Tadao Yanaihara and Shigeharu Nakata",978-4-7554-0284-5,近代日本の植民地主義とジェンタイル・シオニズム : 内村鑑三・矢内原忠雄・中田重治におけるナショナリズムと世界認識,役重善洋 著,,インパクト出版会,2018,2018.3,398p ; 22cm,,,図書,HP113 198.321,HP113-L119,28842439,,,,978-4-7554-0284-5,シオン主義 89-120,,Red,,,1,1,
Not Found,No Permalink Found,,Judaica - Verified,"Colonialism and Non-Jewish Zionism in Modern Japan : Nationalism and World Perception in Kanzo Uchimura, Tadao Yanaihara and Shigeharu Nakata",,近代日本の植民地主義と非ユダヤ人シオニズム : 内村鑑三・矢内原忠雄・中田重治におけるナショナリズムと世界認識,"役重, 善洋",,"役重, 善洋",2016,2016,,,,博士論文,,,,,info:ndljp/pid/11237474,,,シオニズム 1-88,京都大学 博士(人間･環境学),Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99156366571603941/catalog,,Judaica - Verified,Destroy the Syrian Reactor: Behind the Covert Israeli Operation,978-4-89063-397-5,シリア原子炉を破壊せよ : イスラエル極秘作戦の内幕,"ヤーコブ・カッツ 著 , 茂木作太郎 訳",,並木書房,2020,2020.4,287p ; 19cm,,,図書,AI8-311 391.6275,AI8-311-M2,30356089,,,,978-4-89063-397-5,イスラエル 101-200,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990128337870203941/catalog,,Judaica - Verified,Early Hebrew Letters : The Japanese used early Hebrew letters before using Kanji,4-8355-0556-5,初期ヘブライ文字 : 日本人は漢字を使用する前、初期ヘブライ文字を使用していた,米山益弘 著,,文芸社,2000,2000.8,74p ; 20cm,,,図書,KF19 810.49,KF19-G52,2907422,,,,4-8355-0556-5,ヘブライ1-100,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990102620180203941/catalog,,Judaica - Verified,Early Jewish Studies,4-400-12430-4,初期ユダヤ教研究,土岐健治 著,,新教出版社,2006,2006.11,175p ; 22cm,,,図書,HR11 199.04,HR11-H23,8392879,,,,4-400-12430-4,ユダヤ101-200,,Red,,,1,2,
Not Found,No Permalink Found,,Judaica - Verified,"Emergency Meeting ""Considering Israel's Invasion of Gaza"" : Lecture",978-4-86337-028-9,緊急集会「イスラエルによるガザ侵攻を考える」 : 講演録,中東イスラーム研究教育プロジェクト 編,MEIS series ; no.14,東京外国語大学アジア・アフリカ言語文化研究所,2009,2009.3,117p ; 26cm,,,図書,GE761 312.279,GE761-J23,10426515,,,,978-4-86337-028-9,イスラエル 1-100,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990125557920203941/catalog,,Judaica - Verified,European hegemony and the Jews,978-4-588-35228-7,ヨーロッパの覇権とユダヤ人,度会好一 著,,法政大学出版局,2010,2010.5,"288, 35p ; 20cm",,,図書,EC134 316.88,EC134-J28,10880197,,,,978-4-588-35228-7,ユダヤ1-100,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990146161310203941/catalog,,Judaica - Verified,fascinated by the Jewish world,978-4-7791-2145-6,ユダヤ世界に魅せられて,広瀬佳司 著,,彩流社,2015,2015.8,246p ; 19cm,,,図書,EC134 316.88,EC134-L15,26589688,,,,978-4-7791-2145-6,ユダヤ1-100,,Red,,,1,1,
Not Found,No Permalink Found,,Judaica - Verified,Film industry and Jewish capital,4-89827-251-7,映画産業とユダヤ資本,福井次郎 著,,早稲田出版,2003,2003.5,368p ; 20cm,,,図書,KD651 778.09,KD651-H38,4170402,,,,4-89827-251-7,ユダヤ1-100,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/99153697980903941/catalog,,Judaica - Verified,From the Jewish Problem to the Palestinian Problem : Conflicts of Nations and the Structure of the Chain of Violence in the American Zionist Movement,978-4-588-62536-7,ユダヤ人問題からパレスチナ問題へ : アメリカ・シオニスト運動にみるネーションの相克と暴力連鎖の構造,池田有日子 著,,法政大学出版局,2017,2017.7,"309,22p ; 22cm",,,図書,A65 316.88,A65-L17,28376430,,,,978-4-588-62536-7,イスラエル 601-700,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178189203941/catalog,,Judaica - Verified,go see anne frank,978-4-00-500879-7,アンネ・フランクに会いに行く,谷口長世 著,岩波ジュニア新書 ; 879,岩波書店,2018,2018.7,241p ; 18cm,,,図書,Y2 209.74,Y2-N18-L236,29060583,,,,978-4-00-500879-7,アンネ・フランク1-99,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155178188603941/catalog,,Judaica - Verified,Gorgeous Tragedy: Lights and Shadows of German-Jewish Thought,978-4-86182-550-7,絢爛たる悲惨 : ドイツ・ユダヤ思想の光と影,徳永恂 著,,作品社,2015,2015.9,296p ; 20cm,,,図書,HB181 139.7,HB181-L7,26719100,,,,978-4-86182-550-7,イディッシュ 1-45,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990090918610203941/catalog,,Judaica - Verified,Hidden Jews and Hidden Christians,4-409-52038-5,隠れユダヤ教徒と隠れキリシタン,小岸昭 著,,人文書院,2002,2002.1,379p ; 20cm,,,図書,HP51 192,HP51-H1,3982657,,,,4-409-52038-5,ユダヤ1-100,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990114630270203941/catalog,,Judaica - Verified,History of Japan-Jewish Friendship,978-4-89586-028-4,日本とユダヤその友好の歴史,"ベン・アミー・シロニー, 河合一充 共著",,ミルトス,2007,2007.7,189p ; 20cm,,,図書,EC134 316.88,EC134-H46,8833543,,,,978-4-89586-028-4,ユダヤ1-100,,Red,,,1,2,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/99155602497503941/catalog,,Judaica - Verified,Introduction to Israel for Japanese,978-4-480-07303-7,日本人のためのイスラエル入門,大隅洋 著,ちくま新書 ; 1484,筑摩書房,2020,2020.3,237p ; 18cm,,,図書,GE761 302.279,GE761-M10,30274055,,,,978-4-480-07303-7,イスラエル 101-200,,Red,,,1,1,
"Held in Harvard-Yenching Library, Harvard University",https://id.lib.harvard.edu/alma/990123607400203941/catalog,,Judaica - Verified,Israel,978-4-00-431182-9,イスラエル,臼杵陽 著,岩波新書 ; 新赤版1182,岩波書店,2009,2009.4,"230, 8p ; 18cm",,,図書,GE761 227.9,GE761-J20,10123372,,,,978-4-00-431182-9,シオン主義 89-120,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193311003941/catalog,,Judaica - Verified,Israel 2017/18 edition,978-4-907366-85-8,イスラエル 2017/18年版,ARC国別情勢研究会 編集,ARCレポート : 経済・貿易・産業報告書 ; 2017/18,ARC国別情勢研究会,2017,2017.5,150p ; 26cm,,,図書,DC287 332.279,DC287-L1,28199683,,,,978-4-907366-85-8,イスラエル 101-200,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99155193310903941/catalog,,Judaica - Verified,Israel 2019/20 edition,978-4-909585-33-2,イスラエル 2019/20年版,ARC国別情勢研究会 編集,ARCレポート : 経済・貿易・産業報告書 ; 2019/20,ARC国別情勢研究会,2019,2019.7,148p ; 26cm,,,図書,DC287 332.279,DC287-M1,29842695,,,,978-4-909585-33-2,イスラエル 101-200,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99156366574103941/catalog,,Judaica - Verified,Israel and the Jews: A Thought Note,978-4-04-082257-0,イスラエルとユダヤ人 : 考察ノート,佐藤優 [著],角川新書 ; K-305,KADOKAWA,2020,2020.2,397p ; 18cm,,,図書,A99-I8 319.279,A99-I8-M1,30215588,,,,978-4-04-082257-0,イスラエル 1-100,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99156366573003941/catalog,,Judaica - Verified,Israel Handbook on Map,978-4-562-05697-2,地図で見るイスラエルハンドブック,"フレデリック・アンセル 著 , アレクサンドル・ニコラ 地図製作 , 鳥取絹子 訳",,原書房,2020,2020.9,174p ; 21cm,,,図書,GE761 302.279,GE761-M16,30575272,,,,978-4-562-05697-2,シオニズム 1-88,,Red,,,1,1,
"Held in Widener Library, Harvard University",https://id.lib.harvard.edu/alma/99156366573703941/catalog,,Judaica - Verified,Israel moves the world,978-4-14-088628-1,世界を動かすイスラエル,澤畑剛 著,NHK出版新書 ; 628,NHK出版,2020,2020.7,236p ; 18cm,,,図書,GE761 302.279,GE761-M15,30481969,,,,978-4-14-088628-1,イスラエル 101-200,,Red,,,1,1,
